                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0182,                 2.2925,                  1.302,                0.27097,                0.54817,                0.33464,                0.22363,                 1.2579,                 2.7474,                 1.7342,             0.00030112,             0.00030112,             0.00030112
                      2,                0.82789,                 1.4791,                 1.1512,                0.28858,                 0.5419,                0.39615,                0.25787,                 1.6042,                 2.2521,                 2.1908,             0.00057421,             0.00057421,             0.00057421
                      3,                0.80657,                 1.3837,                 1.1369,                0.33782,                0.69166,                0.39699,                0.25746,                 1.3521,                 2.8128,                 1.8517,             0.00081731,             0.00081731,             0.00081731
                      4,                0.74137,                  1.299,                 1.1037,                0.33917,                0.68964,                0.43642,                0.30422,                 1.0716,                 2.6029,                 1.6882,             0.00077401,             0.00077401,             0.00077401
                      5,                0.73076,                 1.2569,                 1.0901,                0.40251,                0.60832,                0.46036,                0.32355,                 1.0989,                  2.159,                 1.5907,             0.00077401,             0.00077401,             0.00077401
                      6,                 0.6985,                 1.1934,                 1.0689,                0.37799,                0.70596,                0.49839,                0.34808,                 1.0952,                 2.6319,                 1.6073,             0.00072902,             0.00072902,             0.00072902
                      7,                0.68174,                 1.1639,                  1.064,                0.40959,                0.61557,                0.50308,                0.34642,                  1.107,                 1.9427,                 1.7056,             0.00068402,             0.00068402,             0.00068402
                      8,                0.65497,                 1.1101,                 1.0514,                0.52799,                0.56185,                0.52744,                0.37246,                0.98645,                 2.6123,                 1.6064,             0.00063903,             0.00063903,             0.00063903
                      9,                0.64504,                 1.0948,                 1.0504,                0.48389,                0.62816,                0.53783,                0.38941,                0.98651,                 2.5907,                  1.597,             0.00059403,             0.00059403,             0.00059403
                     10,                0.61825,                  1.039,                 1.0349,                0.52637,                0.59607,                0.57063,                0.40475,                 1.0404,                 2.5002,                 1.6332,             0.00054904,             0.00054904,             0.00054904
                     11,                0.63955,                 1.0043,                 1.0575,                0.51149,                0.62881,                0.57536,                 0.4238,                0.90986,                 2.8249,                 1.4377,             0.00050404,             0.00050404,             0.00050404
                     12,                0.62277,                0.96437,                 1.0333,                0.48837,                0.62442,                0.58756,                0.43871,                0.93522,                 2.6265,                 1.4577,             0.00045904,             0.00045904,             0.00045904
                     13,                0.59715,                0.93828,                 1.0234,                0.51379,                 0.6879,                0.64031,                0.46371,                 1.0007,                 2.2534,                 1.5463,             0.00041405,             0.00041405,             0.00041405
                     14,                0.57342,                 0.8891,                  1.014,                0.54563,                0.65434,                0.58241,                0.42954,                0.94568,                 2.4539,                 1.4522,             0.00036905,             0.00036905,             0.00036905
                     15,                0.55781,                 0.8464,                0.99782,                0.50933,                0.66909,                0.61198,                0.46167,                0.86527,                 2.9464,                 1.3789,             0.00032406,             0.00032406,             0.00032406
                     16,                0.55337,                0.81556,                0.99584,                0.51413,                0.69609,                0.62115,                 0.4698,                 0.8748,                 2.6065,                 1.4335,             0.00027906,             0.00027906,             0.00027906
                     17,                0.52872,                0.77845,                0.98001,                0.50829,                0.72123,                0.63448,                 0.4743,                0.88775,                 2.7012,                 1.4663,             0.00023407,             0.00023407,             0.00023407
                     18,                0.51694,                0.75247,                0.97119,                0.56897,                0.68063,                0.63911,                 0.4853,                0.86925,                 2.7027,                 1.4149,             0.00018907,             0.00018907,             0.00018907
                     19,                0.49741,                0.70684,                0.96464,                 0.5836,                0.65189,                0.63681,                0.48001,                0.86329,                 2.6581,                  1.407,             0.00014408,             0.00014408,             0.00014408
                     20,                0.48214,                0.67298,                0.95273,                0.54531,                0.68397,                0.63663,                0.47922,                0.85711,                  2.611,                 1.4279,             9.9081e-05,             9.9081e-05,             9.9081e-05
